"teamName","inGameName","checkedInAt"
"The Weekend Warriors","Rhino","Fri Aug 12 2016 23:09:45 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | JujuBee","Fri Aug 12 2016 23:02:33 GMT+0000 (UTC)"
"Three Muffketeers","Sgtgillesderais","Fri Aug 12 2016 23:06:14 GMT+0000 (UTC)"
"Three Muffketeers","Ekar21","Fri Aug 12 2016 23:06:14 GMT+0000 (UTC)"
"Squid Squad","imaninja9977","Fri Aug 12 2016 23:06:41 GMT+0000 (UTC)"
"Identity Crisis","IC | BIOS","Fri Aug 12 2016 23:23:58 GMT+0000 (UTC)"
"Squid Squad","roswell_a51","Fri Aug 12 2016 23:06:41 GMT+0000 (UTC)"
"Squid Squad","theWILEYcayote0","Fri Aug 12 2016 23:06:41 GMT+0000 (UTC)"
"Tuesday","pwnURface777","Fri Aug 12 2016 23:13:50 GMT+0000 (UTC)"
"Tuesday","british_xtc","Fri Aug 12 2016 23:13:50 GMT+0000 (UTC)"
"Fatality","SwaggFTL","Fri Aug 12 2016 23:35:37 GMT+0000 (UTC)"
"Fatality","YettieFTL","Fri Aug 12 2016 23:35:37 GMT+0000 (UTC)"
"RlBeasts","Kevin070801",
"RlBeasts","Raze_Tarik7",
"Singularity","FreelyNoodles","Fri Aug 12 2016 23:41:11 GMT+0000 (UTC)"
"Singularity","IceKingBob","Fri Aug 12 2016 23:41:11 GMT+0000 (UTC)"
"Singularity","Justice Robo","Fri Aug 12 2016 23:41:11 GMT+0000 (UTC)"
"Team Multrix","Bot @Nixus",
"PINCHKEY","Eldanash",
"PINCHKEY","The Snuggler",
"PINCHKEY","Truckin IT",
"PINCHKEY","Cons",
"PINCHKEY","Beavercheif",
"Off the Crossbar","Matthu23","Fri Aug 12 2016 23:29:56 GMT+0000 (UTC)"
"Sky & Beyond","GalactixJR","Fri Aug 12 2016 23:31:20 GMT+0000 (UTC)"
"Last Minute Team","gumpy","Fri Aug 12 2016 23:02:24 GMT+0000 (UTC)"
"Legacy Esports","RVP",
"Firebrand eSports NA","Chaotyk","Fri Aug 12 2016 23:07:31 GMT+0000 (UTC)"
"TBD","killerican","Fri Aug 12 2016 23:04:56 GMT+0000 (UTC)"
"Momentum","Timi_F",
"Off the Crossbar","Joyner413","Fri Aug 12 2016 23:29:56 GMT+0000 (UTC)"
"Last Minute Team","Intercept","Fri Aug 12 2016 23:02:24 GMT+0000 (UTC)"
"Cade Meu Boost","Firefox","Fri Aug 12 2016 23:03:54 GMT+0000 (UTC)"
"Off the Crossbar","Pur3sight","Fri Aug 12 2016 23:29:56 GMT+0000 (UTC)"
"Cade Meu Boost","ze","Fri Aug 12 2016 23:03:54 GMT+0000 (UTC)"
"Squid Squad","Guitar_Slayer","Fri Aug 12 2016 23:06:41 GMT+0000 (UTC)"
"Off the Crossbar","Oh_cha_yo","Fri Aug 12 2016 23:29:56 GMT+0000 (UTC)"
"Legacy Esports","Kri0s",
"Delco","Sharkiesha","Fri Aug 12 2016 23:48:06 GMT+0000 (UTC)"
"Firebrand Esports NA (B)","Saltie LFT","Fri Aug 12 2016 23:05:12 GMT+0000 (UTC)"
"Fatality","UncannyFTL","Fri Aug 12 2016 23:35:37 GMT+0000 (UTC)"
"DId you not have boost?","{SyN}Valkier","Fri Aug 12 2016 23:40:28 GMT+0000 (UTC)"
"Firebrand eSports NA","Decibel","Fri Aug 12 2016 23:07:31 GMT+0000 (UTC)"
"DId you not have boost?","RyanL","Fri Aug 12 2016 23:40:28 GMT+0000 (UTC)"
"Black Dragons","G O D A N","Fri Aug 12 2016 23:07:21 GMT+0000 (UTC)"
"PINCHKEY","WIZKHALFIABLAZEBLUNTZ",
"Enfeeble","Dutym[A]rv | Enfeeble",
"Retrograde","TheClasse",
"Team Expozzia","Headwad","Fri Aug 12 2016 23:00:07 GMT+0000 (UTC)"
"Enfeeble","Seether | Enfeeble",
"Enfeeble","Mango | Enfeeble",
"Black Dragons","Freedom","Fri Aug 12 2016 23:07:21 GMT+0000 (UTC)"
"Black Dragons","Krames","Fri Aug 12 2016 23:07:21 GMT+0000 (UTC)"
"Black Dragons","DuO","Fri Aug 12 2016 23:07:21 GMT+0000 (UTC)"
"vVv Gaming","Azazel","Fri Aug 12 2016 23:12:59 GMT+0000 (UTC)"
"Cade Meu Boost","theKillah!","Fri Aug 12 2016 23:03:54 GMT+0000 (UTC)"
"The LoserS","Draiker",
"The LoserS","BatJowz",
"The LoserS","Sleepy Akari",
"The LoserS","Gween Tea",
"Team Cyprus","BlackEyePlayz","Fri Aug 12 2016 23:44:27 GMT+0000 (UTC)"
"Team Cyprus","panosnearchou","Fri Aug 12 2016 23:44:27 GMT+0000 (UTC)"
"Team Cyprus","Mastros007","Fri Aug 12 2016 23:44:27 GMT+0000 (UTC)"
"Quasar Knights","[QK]Takashiro","Fri Aug 12 2016 23:02:15 GMT+0000 (UTC)"
"vVv Gaming","Ecko","Fri Aug 12 2016 23:12:59 GMT+0000 (UTC)"
"Quasar Knights","[QK] Dirrty Harry","Fri Aug 12 2016 23:02:15 GMT+0000 (UTC)"
"Quasar Knights","Agent207","Fri Aug 12 2016 23:02:15 GMT+0000 (UTC)"
"vVv Gaming","Alcapwn","Fri Aug 12 2016 23:12:59 GMT+0000 (UTC)"
"Quasar Knights","[QK] |APx| BärenMWx10","Fri Aug 12 2016 23:02:15 GMT+0000 (UTC)"
"Horizon Rocket League","kingFritto","Fri Aug 12 2016 23:02:19 GMT+0000 (UTC)"
"Hardcore Boostiality","Rito_Dorito","Fri Aug 12 2016 23:03:42 GMT+0000 (UTC)"
"Osprey","Bendr","Fri Aug 12 2016 23:42:33 GMT+0000 (UTC)"
"Osprey","[Osp] Killington","Fri Aug 12 2016 23:42:33 GMT+0000 (UTC)"
"Enfeeble","Olaf Scania | Enfeeble",
"Osprey","Zed","Fri Aug 12 2016 23:42:33 GMT+0000 (UTC)"
"Osprey","Ethom","Fri Aug 12 2016 23:42:33 GMT+0000 (UTC)"
"Hardcore Boostiality","Fmds","Fri Aug 12 2016 23:03:42 GMT+0000 (UTC)"
"Hardcore Boostiality","Velum","Fri Aug 12 2016 23:03:42 GMT+0000 (UTC)"
"Hardcore Boostiality","Dat Boi","Fri Aug 12 2016 23:03:42 GMT+0000 (UTC)"
"SpawnKilled","Pizzle","Fri Aug 12 2016 23:00:10 GMT+0000 (UTC)"
"Invictos","[IVT] JoelRC14","Fri Aug 12 2016 23:29:54 GMT+0000 (UTC)"
"Invictos","[IVT] DRMS","Fri Aug 12 2016 23:29:54 GMT+0000 (UTC)"
"Invictos","[IVT] Kcin_Legend","Fri Aug 12 2016 23:29:54 GMT+0000 (UTC)"
"Singularity","Wolfeeyyy","Fri Aug 12 2016 23:41:11 GMT+0000 (UTC)"
"SpawnKilled","Doughnut King","Fri Aug 12 2016 23:00:10 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Kesler","Fri Aug 12 2016 23:04:47 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Connor","Fri Aug 12 2016 23:04:47 GMT+0000 (UTC)"
"TBD","Choxic","Fri Aug 12 2016 23:04:56 GMT+0000 (UTC)"
"Momentum","watsupmijo_24",
"HYPE Gaming","macPSU","Fri Aug 12 2016 23:15:41 GMT+0000 (UTC)"
"HYPE Gaming","Munchkinator","Fri Aug 12 2016 23:15:41 GMT+0000 (UTC)"
"HYPE Gaming","Javi Sweatpants","Fri Aug 12 2016 23:15:41 GMT+0000 (UTC)"
"HYPE Gaming","Kaiijuu","Fri Aug 12 2016 23:15:41 GMT+0000 (UTC)"
"HYPE Gaming","getsomeual","Fri Aug 12 2016 23:15:41 GMT+0000 (UTC)"
"Momentum","Dappur",
"Delco","Ta'naeshia Kewlaide","Fri Aug 12 2016 23:48:06 GMT+0000 (UTC)"
"Delco","Watermalon Drea","Fri Aug 12 2016 23:48:06 GMT+0000 (UTC)"
"Ironhype","Loomin | Twitch.tv/Ironhype",
"Ironhype","Attackerby",
"Ironhype","J.RAx",
"TeamProdigy","Prodigy | Aegis","Fri Aug 12 2016 23:02:33 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Heist","Fri Aug 12 2016 23:02:33 GMT+0000 (UTC)"
"vVv Gaming","HadABradDay","Fri Aug 12 2016 23:12:59 GMT+0000 (UTC)"
"Ironhype","Nc! Satthew",
"Identity Crisis","IC | Sona","Fri Aug 12 2016 23:23:58 GMT+0000 (UTC)"
"Rocket Cocks","HeFty","Fri Aug 12 2016 23:45:15 GMT+0000 (UTC)"
"Identity Crisis","IC | E_M_E_T","Fri Aug 12 2016 23:23:58 GMT+0000 (UTC)"
"Team Expozzia","Expozzia","Fri Aug 12 2016 23:00:07 GMT+0000 (UTC)"
"TeamProdigy","Prodigy | Ill","Fri Aug 12 2016 23:02:33 GMT+0000 (UTC)"
"Synergized","Schmaltz92","Fri Aug 12 2016 23:05:59 GMT+0000 (UTC)"
"Danger Zone","Flinney McMillon","Fri Aug 12 2016 23:13:55 GMT+0000 (UTC)"
"Hardcore Boostiality","Bam Bam","Fri Aug 12 2016 23:03:42 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| Bruno_Neves™","Fri Aug 12 2016 23:26:39 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| Pedroca_","Fri Aug 12 2016 23:26:39 GMT+0000 (UTC)"
"The Warriors of Rocket League","|TWR| The killer Gamer 2304","Fri Aug 12 2016 23:26:39 GMT+0000 (UTC)"
"The Warriors of Rocket League","TwR | TK","Fri Aug 12 2016 23:26:39 GMT+0000 (UTC)"
"The Warriors of Rocket League","VyTor","Fri Aug 12 2016 23:26:39 GMT+0000 (UTC)"
"Stuck in Challenger","Fafnir","Fri Aug 12 2016 23:21:11 GMT+0000 (UTC)"
"Stuck in Challenger","Cacamaa","Fri Aug 12 2016 23:21:11 GMT+0000 (UTC)"
"Horizon Rocket League","The_Franchise760","Fri Aug 12 2016 23:02:19 GMT+0000 (UTC)"
"Firebrand eSports NA","Makro","Fri Aug 12 2016 23:07:31 GMT+0000 (UTC)"
"Retrograde","Kelso",
"Danger Zone","Sad Cake Guy","Fri Aug 12 2016 23:13:55 GMT+0000 (UTC)"
"Danger Zone","Morsias","Fri Aug 12 2016 23:13:55 GMT+0000 (UTC)"
"Boost > Ball","SMGschwind","Fri Aug 12 2016 23:31:28 GMT+0000 (UTC)"
"Retrograde","Icicicile",
"Retrograde","Dunksley",
"Legacy Esports","phat man",
"Boost > Ball","Wampominater","Fri Aug 12 2016 23:31:28 GMT+0000 (UTC)"
"Boost > Ball","Timmyk","Fri Aug 12 2016 23:31:28 GMT+0000 (UTC)"
"Momentum","J_knaps",
"The Weekend Warriors","FarazH7","Fri Aug 12 2016 23:09:45 GMT+0000 (UTC)"
"Off the Crossbar","xCorp_90x","Fri Aug 12 2016 23:29:56 GMT+0000 (UTC)"
"Stuck in Challenger","Psyclone","Fri Aug 12 2016 23:21:11 GMT+0000 (UTC)"
"Last Minute Team","jorolelin","Fri Aug 12 2016 23:02:24 GMT+0000 (UTC)"
"Retrograde","heshfromtexas",
"Stuck in Challenger","Left Shark","Fri Aug 12 2016 23:21:11 GMT+0000 (UTC)"
"Rocket Cocks","Cameron","Fri Aug 12 2016 23:45:15 GMT+0000 (UTC)"
"Ironhype","ColemanA",
"TBD","Baynoc","Fri Aug 12 2016 23:04:56 GMT+0000 (UTC)"
"SpawnKilled","molokoa","Fri Aug 12 2016 23:00:10 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","LoRD Sylanthus","Fri Aug 12 2016 23:06:34 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","LoRD BroFather","Fri Aug 12 2016 23:06:34 GMT+0000 (UTC)"
"The Weekend Warriors","BroFather","Fri Aug 12 2016 23:09:45 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","LoRD mokio","Fri Aug 12 2016 23:06:34 GMT+0000 (UTC)"
"Firebrand Esports NA (B)","Fir3 | Billyscape","Fri Aug 12 2016 23:05:12 GMT+0000 (UTC)"
"Leviathans of Rocket Drifting","LoRD HoraryHellfire","Fri Aug 12 2016 23:06:34 GMT+0000 (UTC)"
"Osprey","NinjaWaffle","Fri Aug 12 2016 23:42:33 GMT+0000 (UTC)"
"Firebrand eSports NA","SigmaBlack","Fri Aug 12 2016 23:07:31 GMT+0000 (UTC)"
"Danger Zone","Falcon","Fri Aug 12 2016 23:13:55 GMT+0000 (UTC)"
"Horizon Rocket League","the_a_rab_bomber","Fri Aug 12 2016 23:02:19 GMT+0000 (UTC)"
"Horizon Rocket League","the_a_rab_gunner","Fri Aug 12 2016 23:02:19 GMT+0000 (UTC)"
"Sympathy eSports","Symp | Rayden","Fri Aug 12 2016 23:04:47 GMT+0000 (UTC)"
"Breakfast At 9","Outsid3_Shoot3r","Fri Aug 12 2016 23:03:54 GMT+0000 (UTC)"
"Breakfast At 9","Achlys15","Fri Aug 12 2016 23:03:54 GMT+0000 (UTC)"
"Fatality","UncannyFTL","Fri Aug 12 2016 23:35:37 GMT+0000 (UTC)"
"Exciision Gaming RL","QuestFall",
"Team Multrix","HeyZeer0",
"Team Multrix","Gabriel Magno",
"Tuesday","trackerpro1","Fri Aug 12 2016 23:13:50 GMT+0000 (UTC)"
"Exciision Gaming RL","VeNoMz",
"Squid Squad","FoS_R3COv3ry","Fri Aug 12 2016 23:06:41 GMT+0000 (UTC)"
"Exciision Gaming RL","Kenji",
"Breakfast At 9","Silver_Saviior","Fri Aug 12 2016 23:03:54 GMT+0000 (UTC)"
"Synergized","cinamon22","Fri Aug 12 2016 23:05:59 GMT+0000 (UTC)"
"Synergized","cinamon22","Fri Aug 12 2016 23:05:59 GMT+0000 (UTC)"
"Free Ballerz","Imp","Fri Aug 12 2016 23:05:04 GMT+0000 (UTC)"
"Free Ballerz","Toe the Goat","Fri Aug 12 2016 23:05:04 GMT+0000 (UTC)"
"Synergized","beezycareezy","Fri Aug 12 2016 23:05:59 GMT+0000 (UTC)"
"Free Ballerz","theLiNtY","Fri Aug 12 2016 23:05:04 GMT+0000 (UTC)"
"RlBeasts","luki26_2001",
"Synergized","Mark__Jones","Fri Aug 12 2016 23:05:59 GMT+0000 (UTC)"
"Three Muffketeers","Smitty-Licious","Fri Aug 12 2016 23:06:14 GMT+0000 (UTC)"
"The Weekend Warriors","j0SH","Fri Aug 12 2016 23:09:45 GMT+0000 (UTC)"
"Finger Puppet Mafia","KingWizard","Fri Aug 12 2016 23:03:09 GMT+0000 (UTC)"
"Finger Puppet Mafia","Scaper","Fri Aug 12 2016 23:03:09 GMT+0000 (UTC)"
"Finger Puppet Mafia","Grouchy","Fri Aug 12 2016 23:03:09 GMT+0000 (UTC)"
"Quasar Knights","[QK]DxCubed","Fri Aug 12 2016 23:02:15 GMT+0000 (UTC)"
"Team Expozzia","DudeWithTheNose","Fri Aug 12 2016 23:00:07 GMT+0000 (UTC)"
"Firebrand Esports NA (B)","Fir3 | AcrewOfMidgets","Fri Aug 12 2016 23:05:12 GMT+0000 (UTC)"
"Firebrand Esports NA (B)","Biddles","Fri Aug 12 2016 23:05:12 GMT+0000 (UTC)"
"Firebrand Esports NA (B)","HiroLord","Fri Aug 12 2016 23:05:12 GMT+0000 (UTC)"
"Sky & Beyond","tmandoeswork","Fri Aug 12 2016 23:31:20 GMT+0000 (UTC)"
"Rocket Cocks","Fatality","Fri Aug 12 2016 23:45:15 GMT+0000 (UTC)"
"DId you not have boost?","{SyN}Fablevil","Fri Aug 12 2016 23:40:28 GMT+0000 (UTC)"
"Sky & Beyond","EpicSeanDC","Fri Aug 12 2016 23:31:20 GMT+0000 (UTC)"
"Lemonade For Turtles","Squishy Muffinz","Fri Aug 12 2016 23:55:25 GMT+0000 (UTC)"
"Lemonade For Turtles","Epicjonny","Fri Aug 12 2016 23:55:25 GMT+0000 (UTC)"
"Lemonade For Turtles","Skyzz","Fri Aug 12 2016 23:55:25 GMT+0000 (UTC)"